#E_pot  E_kin  T  P_ideal P_virial
-4.706307e-05 7.337458e+02 2.941644e+02 8.122757e+02 8.122755e+02
-4.996254e-05 7.375926e+02 2.957067e+02 8.165343e+02 8.165341e+02
-5.439237e-05 6.839314e+02 2.741935e+02 7.571299e+02 7.571297e+02
-5.854191e-05 6.641786e+02 2.662744e+02 7.352630e+02 7.352628e+02
-6.228625e-05 6.820856e+02 2.734535e+02 7.550865e+02 7.550863e+02
-6.687288e-05 6.853903e+02 2.747783e+02 7.587449e+02 7.587447e+02
-7.281686e-05 6.840502e+02 2.742411e+02 7.572614e+02 7.572611e+02
-7.952031e-05 6.805726e+02 2.728469e+02 7.534116e+02 7.534114e+02
-8.505492e-05 6.970049e+02 2.794347e+02 7.716025e+02 7.716022e+02
-9.039869e-05 7.422760e+02 2.975843e+02 8.217189e+02 8.217186e+02
-9.443605e-05 7.412895e+02 2.971888e+02 8.206268e+02 8.206265e+02
-9.600926e-05 7.394382e+02 2.964466e+02 8.185774e+02 8.185771e+02
-9.733465e-05 7.357486e+02 2.949674e+02 8.144928e+02 8.144925e+02
-9.510770e-05 7.424607e+02 2.976583e+02 8.219233e+02 8.219230e+02
-9.208145e-05 7.734188e+02 3.100697e+02 8.561948e+02 8.561945e+02
-9.436175e-05 7.786770e+02 3.121777e+02 8.620157e+02 8.620154e+02
-9.989190e-05 7.841594e+02 3.143757e+02 8.680849e+02 8.680846e+02
-1.081949e-04 8.292187e+02 3.324403e+02 9.179667e+02 9.179664e+02
-1.236563e-04 8.096331e+02 3.245883e+02 8.962849e+02 8.962845e+02
-1.513340e-04 7.756774e+02 3.109752e+02 8.586951e+02 8.586946e+02
-1.892225e-04 7.749634e+02 3.106889e+02 8.579047e+02 8.579041e+02
-2.286576e-04 7.681716e+02 3.079660e+02 8.503859e+02 8.503852e+02
-2.770672e-04 7.790322e+02 3.123201e+02 8.624089e+02 8.624080e+02
-3.400353e-04 8.105044e+02 3.249376e+02 8.972495e+02 8.972483e+02
-4.255059e-04 7.934549e+02 3.181023e+02 8.783752e+02 8.783738e+02
-5.297439e-04 7.595416e+02 3.045062e+02 8.408323e+02 8.408306e+02
-6.169078e-04 7.677679e+02 3.078042e+02 8.499390e+02 8.499370e+02
-6.999191e-04 7.796931e+02 3.125851e+02 8.631406e+02 8.631383e+02
-7.193795e-04 7.581958e+02 3.039666e+02 8.393425e+02 8.393401e+02
-6.623182e-04 7.840274e+02 3.143227e+02 8.679387e+02 8.679365e+02
-6.217627e-04 7.849257e+02 3.146829e+02 8.689332e+02 8.689311e+02
-6.241234e-04 7.635643e+02 3.061189e+02 8.452856e+02 8.452835e+02
-6.418461e-04 7.473394e+02 2.996142e+02 8.273241e+02 8.273220e+02
-6.362530e-04 7.958409e+02 3.190589e+02 8.810167e+02 8.810145e+02
-6.688368e-04 8.064103e+02 3.232962e+02 8.927172e+02 8.927150e+02
-7.658832e-04 7.813129e+02 3.132345e+02 8.649338e+02 8.649312e+02
-8.797693e-04 7.964961e+02 3.193215e+02 8.817419e+02 8.817390e+02
-9.944355e-04 7.726929e+02 3.097787e+02 8.553912e+02 8.553879e+02
-1.063882e-03 7.515399e+02 3.012982e+02 8.319742e+02 8.319707e+02
-1.083016e-03 7.777161e+02 3.117925e+02 8.609519e+02 8.609483e+02
-9.874064e-04 7.582552e+02 3.039905e+02 8.394083e+02 8.394050e+02
-8.071520e-04 7.525973e+02 3.017222e+02 8.331448e+02 8.331421e+02
-6.919214e-04 7.293833e+02 2.924155e+02 8.074463e+02 8.074440e+02
-6.367031e-04 7.419822e+02 2.974665e+02 8.213936e+02 8.213915e+02
-6.051349e-04 7.338942e+02 2.942240e+02 8.124400e+02 8.124380e+02
-5.707982e-04 7.543458e+02 3.024232e+02 8.350805e+02 8.350786e+02
-5.464496e-04 7.674147e+02 3.076626e+02 8.495480e+02 8.495462e+02
-5.261797e-04 7.712618e+02 3.092049e+02 8.538069e+02 8.538052e+02
-5.076459e-04 7.897589e+02 3.166205e+02 8.742836e+02 8.742820e+02
